driverId,driverRef,number,code,surname,dob,nationality
184,baldi,NULL,NULL,Baldi,1954-01-31,Italian
185,bellof,NULL,NULL,Bellof,1957-11-20,German
186,acheson,NULL,NULL,Acheson,1957-11-27,British
187,watson,NULL,NULL,Watson,1946-05-04,British
188,cecotto,NULL,NULL,Cecotto,1956-01-25,Venezuelan
189,gartner,NULL,NULL,Gartner,1954-01-24,Austrian
190,corrado_fabi,NULL,NULL,Fabi,1961-04-12,Italian
191,thackwell,NULL,NULL,Thackwell,1961-03-30,New Zealander
192,serra,NULL,NULL,Serra,1957-02-03,Brazilian
193,sullivan,NULL,NULL,Sullivan,1950-03-09,American
194,salazar,NULL,NULL,Salazar,1954-11-14,Chilean
195,guerrero,NULL,NULL,Guerrero,1958-11-16,Colombian
196,boesel,NULL,NULL,Boesel,1957-12-04,Brazilian
197,jarier,NULL,NULL,Jarier,1946-07-10,French
198,villeneuve_sr,NULL,NULL,Villeneuve Sr,1953-11-04,Canadian
199,reutemann,NULL,NULL,Reutemann,1942-04-12,Argentine
200,mass,NULL,NULL,Mass,1946-09-30,German
201,borgudd,NULL,NULL,Borgudd,1946-11-25,Swedish
202,pironi,NULL,NULL,Pironi,1952-03-26,French
203,gilles_villeneuve,NULL,NULL,Villeneuve,1950-01-18,Canadian
204,paletti,NULL,NULL,Paletti,1958-06-15,Italian
205,henton,NULL,NULL,Henton,1946-09-19,British
206,daly,NULL,NULL,Daly,1953-03-11,Irish
207,mario_andretti,NULL,NULL,Andretti,1940-02-28,American
208,villota,NULL,NULL,de Villota,1946-07-26,Spanish
209,lees,NULL,NULL,Lees,1951-05-01,British
210,byrne,NULL,NULL,Byrne,1958-05-06,Irish
211,keegan,NULL,NULL,Keegan,1955-02-26,British
212,rebaque,NULL,NULL,Rebaque,1956-02-05,Mexican
213,gabbiani,NULL,NULL,Gabbiani,1957-01-02,Italian
214,cogan,NULL,NULL,Cogan,1956-03-31,American
215,guerra,NULL,NULL,Guerra,1953-08-31,Argentine
216,stohr,NULL,NULL,Stohr,1952-10-10,Italian
217,zunino,NULL,NULL,Zunino,1949-04-13,Argentine
218,londono,NULL,NULL,Londono,1949-08-08,Colombian
219,jabouille,NULL,NULL,Jabouille,1942-10-01,French
220,francia,NULL,NULL,Francia,1947-11-08,Italian
221,depailler,NULL,NULL,Depailler,1944-08-09,French
222,scheckter,NULL,NULL,Scheckter,1950-01-29,South African
223,regazzoni,NULL,NULL,Regazzoni,1939-09-05,Swiss
224,emerson_fittipaldi,NULL,NULL,Fittipaldi,1946-12-12,Brazilian
225,kennedy,NULL,NULL,Kennedy,1953-01-15,Irish
226,south,NULL,NULL,South,1952-02-19,British
227,needell,NULL,NULL,Needell,1951-10-29,British
228,desire_wilson,NULL,NULL,Wilson,1953-11-26,South African
229,ertl,NULL,NULL,Ertl,1948-08-31,Austrian
230,brambilla,NULL,NULL,Brambilla,1937-11-11,Italian
231,hunt,NULL,NULL,Hunt,1947-08-29,British
232,merzario,NULL,NULL,Merzario,1943-03-11,Italian
233,stuck,NULL,NULL,Stuck,1951-01-01,German
234,brancatelli,NULL,NULL,Brancatelli,1950-01-18,Italian
235,ickx,NULL,NULL,Ickx,1945-01-01,Belgian
236,gaillard,NULL,NULL,Gaillard,1952-02-12,French
237,ribeiro,NULL,NULL,Ribeiro,1948-11-07,Brazilian
238,peterson,NULL,NULL,Peterson,1944-02-14,Swedish
239,lunger,NULL,NULL,Lunger,1945-11-14,American
240,ongais,NULL,NULL,Ongais,1942-05-21,American
241,leoni,NULL,NULL,Leoni,1953-05-24,Italian
242,galica,NULL,NULL,Galica,1944-08-13,British
243,stommelen,NULL,NULL,Stommelen,1943-07-11,German
244,colombo,NULL,NULL,Colombo,1946-02-23,Italian
245,trimmer,NULL,NULL,Trimmer,1943-01-24,British
246,binder,NULL,NULL,Binder,1948-06-12,Austrian
247,bleekemolen,NULL,NULL,Bleekemolen,1949-10-02,Dutch
248,gimax,NULL,NULL,Franchi,1938-01-01,Italian
249,rahal,NULL,NULL,Rahal,1953-01-10,American
250,pace,NULL,NULL,Pace,1944-10-06,Brazilian
251,ian_scheckter,NULL,NULL,Scheckter,1947-08-22,South African
252,pryce,NULL,NULL,Pryce,1949-06-11,British
253,hoffmann,NULL,NULL,Hoffmann,1953-02-28,Brazilian
254,zorzi,NULL,NULL,Zorzi,1946-12-12,Italian
255,nilsson,NULL,NULL,Nilsson,1948-11-20,Swedish
256,perkins,NULL,NULL,Perkins,1950-03-18,Australian
257,hayje,NULL,NULL,Lunger,1949-05-03,Dutch
258,neve,NULL,NULL,Neve,1949-10-13,Belgian
259,purley,NULL,NULL,Purley,1945-01-26,British
260,andersson,NULL,NULL,Andersson,1939-12-28,Swedish
261,dryver,NULL,NULL,de Dryver,1952-09-19,Belgian
262,oliver,NULL,NULL,Oliver,1942-08-14,British
263,kozarowitzky,NULL,NULL,Kozarowitzky,1948-05-17,Finnish
264,sutcliffe,NULL,NULL,Sutcliffe,1947-05-09,British
265,edwards,NULL,NULL,Edwards,1942-12-30,British
266,mcguire,NULL,NULL,McGuire,1945-12-13,Australian
267,schuppan,NULL,NULL,Schuppan,1943-03-19,Australian
268,heyer,NULL,NULL,Heyer,1943-03-16,German
269,pilette,NULL,NULL,Pilette,1942-07-26,Belgian
270,ashley,NULL,NULL,Ashley,1947-10-26,British
271,kessel,NULL,NULL,Kessel,1950-04-01,Swiss
272,takahashi,NULL,NULL,Takahashi,1940-01-29,Japanese
273,hoshino,NULL,NULL,Hoshino,1947-07-01,Japanese
274,takahara,NULL,NULL,Takahara,1951-06-06,Japanese
275,lombardi,NULL,NULL,Lombardi,1941-03-26,Italian
276,evans,NULL,NULL,Evans,1947-06-11,British
277,leclere,NULL,NULL,Leclere,1946-03-18,French
278,amon,NULL,NULL,Amon,1943-07-20,New Zealander
279,zapico,NULL,NULL,Zapico,1944-05-27,Spanish
280,pescarolo,NULL,NULL,Pescarolo,1942-09-25,French
281,nelleman,NULL,NULL,Nelleman,1944-04-19,Danish
282,magee,NULL,NULL,Magee,1945-11-17,British
283,wilds,NULL,NULL,Wilds,1946-01-07,British
284,pesenti_rossi,NULL,NULL,Pesenti-Rossi,1942-08-31,Italian
285,stuppacher,NULL,NULL,Stuppacher,1947-03-03,Austrian
286,brown,NULL,NULL,Brown,1949-12-24,Australian
287,hasemi,NULL,NULL,Hasemi,1945-11-13,Japanese
288,donohue,NULL,NULL,Donohue,1937-03-18,American
289,hill,NULL,NULL,Hill,1929-02-15,British
290,wilson_fittipaldi,NULL,NULL,Fittipaldi,1943-12-25,Brazilian
291,tunmer,NULL,NULL,Tunmer,1948-12-01,South African
292,keizan,NULL,NULL,Keizan,1944-09-12,South African
293,charlton,NULL,NULL,Charlton,1936-10-27,South African
294,brise,NULL,NULL,Brise,1952-03-28,British
295,wunderink,NULL,NULL,Wunderink,1948-12-12,Dutch
296,migault,NULL,NULL,Migault,1944-12-04,French
297,palm,NULL,NULL,Palm,1947-07-23,Swedish
298,lennep,NULL,NULL,van Lennep,1942-03-16,Dutch
299,fushida,NULL,NULL,Fushida,1946-03-10,Japanese
300,nicholson,NULL,NULL,Nicholson,1941-10-06,New Zealander
301,morgan,NULL,NULL,Morgan,1944-08-07,British
302,crawford,NULL,NULL,Crawford,1948-02-13,British
303,vonlanthen,NULL,NULL,Vonlanthen,1942-05-31,Swiss
304,hulme,NULL,NULL,Hulme,1936-06-18,New Zealander
305,hailwood,NULL,NULL,Hailwood,1940-04-02,British
306,beltoise,NULL,NULL,Beltoise,1937-04-26,French
307,ganley,NULL,NULL,Ganley,1941-12-24,New Zealander
308,robarts,NULL,NULL,Robarts,1944-09-22,British
309,revson,NULL,NULL,Revson,1939-02-27,American
310,driver,NULL,NULL,Driver,1934-05-13,South African
311,belso,NULL,NULL,Belso,1942-08-27,Danish
312,redman,NULL,NULL,Redman,1937-03-09,British
313,opel,NULL,NULL,von Opel,1947-10-14,Liechtensteiner
314,schenken,NULL,NULL,Schenken,1943-09-26,Australian
315,larrousse,NULL,NULL,Larrousse,1940-05-23,French
316,kinnunen,NULL,NULL,Kinnunen,1943-08-05,Finnish
317,wisell,NULL,NULL,Wisell,1941-09-30,Swedish
318,roos,NULL,NULL,Roos,1943-10-12,Swedish
319,dolhem,NULL,NULL,Dolhem,1944-04-26,French
320,gethin,NULL,NULL,Gethin,1940-02-21,British
321,bell,NULL,NULL,Bell,1941-10-31,British
322,hobbs,NULL,NULL,Hobbs,1939-06-09,British
323,quester,NULL,NULL,Quester,1939-05-30,Austrian
324,koinigg,NULL,NULL,Koinigg,1948-11-03,Austrian
325,facetti,NULL,NULL,Facetti,1935-06-26,Italian
326,wietzes,NULL,NULL,Wietzes,1938-05-28,Canadian
327,cevert,NULL,NULL,Cevert,1944-02-25,French
328,stewart,NULL,NULL,Stewart,1939-06-11,British
329,beuttler,NULL,NULL,Beuttler,1940-04-13,British
330,galli,NULL,NULL,Galli,1940-10-02,Italian
331,bueno,NULL,NULL,Bueno,1937-01-16,Brazilian
332,follmer,NULL,NULL,Follmer,1934-01-27,American
333,adamich,NULL,NULL,de Adamich,1941-10-03,Italian
334,pretorius,NULL,NULL,Pretorius,1934-11-22,South African
335,williamson,NULL,NULL,Williamson,1948-02-02,British
336,mcrae,NULL,NULL,McRae,1940-03-05,New Zealander
337,marko,NULL,NULL,Marko,1943-04-27,Austrian
338,walker,NULL,NULL,Walker,1941-06-10,Australian
339,roig,NULL,NULL,Soler-Roig,1932-10-29,Spanish
340,love,NULL,NULL,Love,1924-12-07,Rhodesian
341,surtees,NULL,NULL,Surtees,1934-02-11,British
342,barber,NULL,NULL,Barber,1936-11-16,American
343,brack,NULL,NULL,Brack,1935-12-26,Canadian
344,posey,NULL,NULL,Posey,1944-05-26,American
345,rodriguez,NULL,NULL,Rodriguez,1940-01-18,Mexican
346,siffert,NULL,NULL,Siffert,1936-07-07,Swiss
347,bonnier,NULL,NULL,Bonnier,1930-01-31,Swedish
348,mazet,NULL,NULL,Mazet,1943-02-24,French
349,jean,NULL,NULL,Jean,1943-07-27,French
350,elford,NULL,NULL,Elford,1935-06-10,British
351,moser,NULL,NULL,Moser,1941-04-24,Swiss
352,eaton,NULL,NULL,Eaton,1945-11-12,Canadian
353,lovely,NULL,NULL,Lovely,1926-04-11,American
354,craft,NULL,NULL,Craft,1939-11-17,British
355,Cannoc,NULL,NULL,Cannon,1933-06-21,Canadian
356,jack_brabham,NULL,NULL,Brabham,1926-04-02,Australian
357,miles,NULL,NULL,Miles,1943-06-14,British
358,rindt,NULL,NULL,Rindt,1942-04-18,Austrian
359,gavin,NULL,NULL,Servoz-Gavin,1942-01-18,French
360,mclaren,NULL,NULL,McLaren,1937-08-30,New Zealander
361,courage,NULL,NULL,Courage,1942-05-27,British
362,klerk,NULL,NULL,de Klerk,1935-03-16,South African
363,giunti,NULL,NULL,Giunti,1941-08-30,Italian
364,gurney,NULL,NULL,Gurney,1931-04-13,American
365,hahne,NULL,NULL,Hahne,1935-03-28,German
366,hutchison,NULL,NULL,Hutchison,1937-04-26,American
367,westbury,NULL,NULL,Westbury,1938-05-26,British
368,tingle,NULL,NULL,Tingle,1921-08-24,Rhodesian
369,rooyen,NULL,NULL,van Rooyen,1939-04-19,South African
370,attwood,NULL,NULL,Attwood,1940-04-04,British
371,pease,NULL,NULL,Pease,1921-10-15,Canadian
372,cordts,NULL,NULL,Cordts,1935-07-23,Canadian
373,clark,NULL,NULL,Clark,1936-03-04,British
374,spence,NULL,NULL,Spence,1936-12-30,British
375,scarfiotti,NULL,NULL,Scarfiotti,1933-10-18,Italian
376,bianchi,NULL,BIA,Bianchi,1934-11-10,Belgian
377,jo_schlesser,NULL,NULL,Schlesser,1928-05-18,French
378,widdows,NULL,NULL,Widdows,1942-05-27,British
379,ahrens,NULL,NULL,Ahrens,1940-04-19,German
380,gardner,NULL,NULL,Gardner,1930-10-01,Australian
381,unser,NULL,NULL,Unser,1934-02-20,American
382,solana,NULL,NULL,Solana,1935-12-26,Mexican
383,anderson,NULL,NULL,Anderson,1931-05-19,British
384,botha,NULL,NULL,Botha,1930-01-16,South African
385,bandini,NULL,NULL,Bandini,1935-12-21,Italian
386,ginther,NULL,NULL,Ginther,1930-08-05,American
387,parkes,NULL,NULL,Parkes,1931-09-24,British
388,irwin,NULL,NULL,Irwin,1942-06-27,British
389,ligier,NULL,NULL,Ligier,1930-07-12,French
390,rees,NULL,NULL,Rees,1938-01-12,British
391,hart,NULL,NULL,Hart,1936-09-07,British
392,fisher,NULL,NULL,Fisher,1943-03-13,American
393,tom_jones,NULL,NULL,Jones,1943-04-26,American
394,baghetti,NULL,NULL,Baghetti,1934-12-25,Italian
395,williams,NULL,NULL,Williams,1942-10-26,British
396,bondurant,NULL,NULL,Bondurant,1933-04-27,American
397,arundell,NULL,NULL,Arundell,1933-11-08,British
398,vic_wilson,NULL,NULL,Wilson,1931-04-14,British
399,taylor,NULL,NULL,Taylor,1933-03-23,British
400,lawrence,NULL,NULL,Lawrence,1933-07-27,British
401,trevor_taylor,NULL,NULL,Taylor,1936-12-26,British
402,geki,NULL,NULL,Russo,1937-10-23,Italian
403,phil_hill,NULL,NULL,Hill,1927-04-20,American
404,ireland,NULL,NULL,Ireland,1930-06-12,British
405,bucknum,NULL,NULL,Bucknum,1936-04-05,American
406,hawkins,NULL,NULL,Hawkins,1937-10-12,Australian
407,prophet,NULL,NULL,Prophet,1937-10-09,British
408,maggs,NULL,NULL,Maggs,1937-02-09,South African
409,blokdyk,NULL,NULL,Blokdyk,1935-11-30,South African
410,lederle,NULL,NULL,Lederle,1938-09-25,South African
411,serrurier,NULL,NULL,Serrurier,1920-12-09,South African
412,niemann,NULL,NULL,Niemann,1939-01-07,South African
413,pieterse,NULL,NULL,Pieterse,1938-07-04,South African
414,puzey,NULL,NULL,Puzey,1941-07-11,Rhodesian
415,reed,NULL,NULL,Reed,1932-04-30,South African
416,clapham,NULL,NULL,Clapham,1931-05-18,South African
417,blignaut,NULL,NULL,Blignaut,1932-11-30,South African
418,gregory,NULL,NULL,Gregory,1932-02-29,American
419,rhodes,NULL,NULL,Rhodes,1927-08-18,British
420,raby,NULL,NULL,Raby,1921-09-22,British
421,rollinson,NULL,NULL,Rollinson,1943-05-15,British
422,gubby,NULL,NULL,Gubby,1934-04-17,British
423,mitter,NULL,NULL,Mitter,1935-08-30,German
424,bussinello,NULL,NULL,Bussinello,1927-10-04,Italian
425,vaccarella,NULL,NULL,Vaccarella,1933-03-04,Italian
426,bassi,NULL,NULL,Bassi,1934-01-20,Italian
427,trintignant,NULL,NULL,Trintignant,1917-10-30,French
428,collomb,NULL,NULL,Collomb,1930-10-07,French
429,andre_pilette,NULL,NULL,Pilette,1918-10-06,Belgian
430,beaufort,NULL,NULL,de Beaufort,1934-04-10,Dutch
431,barth,NULL,NULL,Barth,1917-01-26,German
432,cabral,NULL,NULL,Cabral,1934-01-15,Portuguese
433,hansgen,NULL,NULL,Hansgen,1919-10-28,American
434,sharp,NULL,NULL,Sharp,1928-01-01,American
435,mairesse,NULL,NULL,Mairesse,1928-10-01,Belgian
436,campbell_jones,NULL,NULL,Campbell-Jones,1930-01-21,British
437,burgess,NULL,NULL,Burgess,1930-07-06,British
438,settember,NULL,NULL,Settember,1926-07-10,American
439,estefano,NULL,NULL,Estefano,1932-11-18,Argentine
440,hall,NULL,NULL,Hall,1935-07-23,American
441,parnell,NULL,NULL,Parnell,1932-06-25,British
442,kuhnke,NULL,NULL,Kuhnke,1910-04-30,German
443,ernesto_brambilla,NULL,NULL,Brambilla,1934-01-31,Italian
444,lippi,NULL,NULL,Lippi,1926-10-17,Italian
445,seiffert,NULL,NULL,Seiffert,1937-10-18,German
446,abate,NULL,NULL,Abate,1932-07-10,Italian
447,starrabba,NULL,NULL,Starrabba,1932-12-03,Italian
448,broeker,NULL,NULL,Broeker,1926-05-15,Canadian
449,ward,NULL,NULL,Ward,1921-01-10,American
450,vos,NULL,NULL,de Vos,1941-07-01,Dutch
451,dochnal,NULL,NULL,Dochnal,1920-10-08,American
452,monarch,NULL,NULL,Monarch,1945-09-03,American
842,gasly,10,GAS,Gasly,1996-02-07,French
453,lewis,NULL,NULL,Lewis,1936-11-01,British
454,ricardo_rodriguez,NULL,NULL,Rodriguez,1942-02-14,Mexican
455,seidel,NULL,NULL,Seidel,1926-07-04,German
456,salvadori,NULL,NULL,Salvadori,1922-05-12,British
457,pon,NULL,NULL,Pon,1936-12-09,Dutch
458,slotemaker,NULL,NULL,Slotemaker,1929-06-13,Dutch
